Resultados ordenados - 2025-05-14 23:17:37
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.8, p=0.5, n=100, m/n=4.2, WalkSAT Success: 12.0%, Total Flips: 268835, Time: 28.46 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.3, WalkSAT Success: 7.0%, Total Flips: 281863, Time: 31.44 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.4, WalkSAT Success: 1.0%, Total Flips: 297296, Time: 33.41 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.5, WalkSAT Success: 4.0%, Total Flips: 289199, Time: 32.12 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.6, WalkSAT Success: 6.0%, Total Flips: 285159, Time: 32.90 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.7, WalkSAT Success: 2.0%, Total Flips: 295071, Time: 33.12 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.8, WalkSAT Success: 1.0%, Total Flips: 297120, Time: 33.92 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=4.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 34.02 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 34.88 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds

Resultados para n = 250:
----------------------------------------
c=10, Q=0.8, p=0.5, n=250, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 12604, Time: 6.41 seconds
