Resultados ordenados - 2025-06-13 18:14:56
================================================================================

#################### n = 50 ####################
    n=100, m/n=4.1, Success Rate: 0.0%, Total Flips: 250000, Time: 436.01 seconds
    n=100, m/n=4.2, Success Rate: 0.0%, Total Flips: 250000, Time: 436.88 seconds
    n=100, m/n=4.3, Success Rate: 0.0%, Total Flips: 250000, Time: 439.68 seconds
    n=100, m/n=4.4, Success Rate: 0.0%, Total Flips: 250000, Time: 441.11 seconds
    n=100, m/n=4.5, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=100, m/n=4.6, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=100, m/n=4.7, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=100, m/n=4.8, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=100, m/n=4.9, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=100, m/n=5.0, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=100, m/n=5.1, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=100, m/n=5.2, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=100, m/n=5.3, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=100, m/n=5.4, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds

#################### n = 250 ####################
    n=250, m/n=1.5, Success Rate: 100.0%, Total Flips: 35468, Time: 39.02 seconds
    n=250, m/n=1.6, Success Rate: 93.0%, Total Flips: 75426, Time: 76.16 seconds
    n=250, m/n=1.7, Success Rate: 84.0%, Total Flips: 102621, Time: 99.69 seconds
    n=250, m/n=1.8, Success Rate: 59.0%, Total Flips: 157692, Time: 142.81 seconds
    n=250, m/n=1.9, Success Rate: 33.0%, Total Flips: 206679, Time: 183.48 seconds
    n=250, m/n=2.0, Success Rate: 20.0%, Total Flips: 227559, Time: 208.38 seconds
    n=250, m/n=2.1, Success Rate: 10.0%, Total Flips: 240506, Time: 220.92 seconds
    n=250, m/n=2.2, Success Rate: 5.0%, Total Flips: 242861, Time: 226.01 seconds
    n=250, m/n=2.3, Success Rate: 2.0%, Total Flips: 245321, Time: 234.69 seconds
    n=250, m/n=2.4, Success Rate: 0.0%, Total Flips: 250000, Time: 249.24 seconds
    n=250, m/n=2.5, Success Rate: 0.0%, Total Flips: 250000, Time: 360.77 seconds
    n=250, m/n=2.6, Success Rate: 0.0%, Total Flips: 250000, Time: 375.65 seconds
    n=250, m/n=2.7, Success Rate: 0.0%, Total Flips: 250000, Time: 383.16 seconds
    n=250, m/n=2.8, Success Rate: 0.0%, Total Flips: 250000, Time: 428.51 seconds
    n=250, m/n=2.9, Success Rate: 0.0%, Total Flips: 250000, Time: 441.36 seconds
    n=250, m/n=3.0, Success Rate: 0.0%, Total Flips: 250000, Time: 451.79 seconds
    n=250, m/n=3.1, Success Rate: 0.0%, Total Flips: 250000, Time: 452.50 seconds
    n=250, m/n=3.2, Success Rate: 0.0%, Total Flips: 250000, Time: 461.32 seconds
    n=250, m/n=3.3, Success Rate: 0.0%, Total Flips: 250000, Time: 469.23 seconds
    n=250, m/n=3.4, Success Rate: 0.0%, Total Flips: 250000, Time: 476.79 seconds
    n=250, m/n=3.5, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=3.6, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=3.7, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=3.8, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=3.9, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.0, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.1, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.2, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.3, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.4, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.5, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.6, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.7, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.8, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=4.9, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=5.0, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=5.1, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=5.2, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=5.3, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=250, m/n=5.4, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds

#################### n = 500 ####################
    n=500, m/n=1.5, Success Rate: 0.0%, Total Flips: 250000, Time: 817.19 seconds
    n=500, m/n=1.6, Success Rate: 0.0%, Total Flips: 250000, Time: 925.51 seconds
    n=500, m/n=1.7, Success Rate: 0.0%, Total Flips: 250000, Time: 954.56 seconds
    n=500, m/n=1.8, Success Rate: 0.0%, Total Flips: 250000, Time: 955.90 seconds
    n=500, m/n=1.9, Success Rate: 0.0%, Total Flips: 250000, Time: 991.21 seconds
    n=500, m/n=2.0, Success Rate: 0.0%, Total Flips: 250000, Time: 1021.81 seconds
    n=500, m/n=2.1, Success Rate: 0.0%, Total Flips: 250000, Time: 1034.05 seconds
    n=500, m/n=2.2, Success Rate: 0.0%, Total Flips: 250000, Time: 1056.88 seconds
    n=500, m/n=2.3, Success Rate: 0.0%, Total Flips: 250000, Time: 1091.66 seconds
    n=500, m/n=2.4, Success Rate: 0.0%, Total Flips: 250000, Time: 1133.46 seconds
    n=500, m/n=2.5, Success Rate: 0.0%, Total Flips: 250000, Time: 1270.89 seconds
    n=500, m/n=2.6, Success Rate: 0.0%, Total Flips: 250000, Time: 1294.63 seconds
    n=500, m/n=2.7, Success Rate: 0.0%, Total Flips: 250000, Time: 1320.02 seconds
    n=500, m/n=2.8, Success Rate: 0.0%, Total Flips: 250000, Time: 1491.68 seconds
    n=500, m/n=2.9, Success Rate: 0.0%, Total Flips: 250000, Time: 1526.12 seconds
    n=500, m/n=3.0, Success Rate: 0.0%, Total Flips: 250000, Time: 1543.05 seconds
    n=500, m/n=3.1, Success Rate: 0.0%, Total Flips: 250000, Time: 1576.53 seconds
    n=500, m/n=3.2, Success Rate: 0.0%, Total Flips: 250000, Time: 1596.13 seconds
    n=500, m/n=3.3, Success Rate: 0.0%, Total Flips: 250000, Time: 1621.32 seconds
    n=500, m/n=3.4, Success Rate: 0.0%, Total Flips: 250000, Time: 1650.40 seconds
    n=500, m/n=3.5, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=3.6, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=3.7, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=3.8, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=3.9, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.0, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.1, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.2, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.3, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.4, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.5, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.6, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.7, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.8, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=4.9, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=5.0, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=5.1, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=5.2, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=5.3, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=500, m/n=5.4, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds

#################### n = 1000 ####################
    n=1000, m/n=1.5, Success Rate: 0.0%, Total Flips: 250000, Time: 3524.98 seconds
    n=1000, m/n=1.6, Success Rate: 0.0%, Total Flips: 250000, Time: 4488.88 seconds
    n=1000, m/n=1.7, Success Rate: 0.0%, Total Flips: 250000, Time: 4738.50 seconds
    n=1000, m/n=1.8, Success Rate: 0.0%, Total Flips: 250000, Time: 5780.02 seconds
    n=1000, m/n=1.9, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=2.0, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=2.1, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=2.2, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=2.3, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=2.4, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=2.5, Success Rate: 0.0%, Total Flips: 250000, Time: 4959.61 seconds
    n=1000, m/n=2.6, Success Rate: 0.0%, Total Flips: 250000, Time: 5081.30 seconds
    n=1000, m/n=2.7, Success Rate: 0.0%, Total Flips: 250000, Time: 5218.45 seconds
    n=1000, m/n=2.8, Success Rate: 0.0%, Total Flips: 250000, Time: 6197.98 seconds
    n=1000, m/n=2.9, Success Rate: 0.0%, Total Flips: 250000, Time: 6265.72 seconds
    n=1000, m/n=3.0, Success Rate: 0.0%, Total Flips: 250000, Time: 6407.75 seconds
    n=1000, m/n=3.1, Success Rate: 0.0%, Total Flips: 250000, Time: 6475.51 seconds
    n=1000, m/n=3.2, Success Rate: 0.0%, Total Flips: 250000, Time: 6585.22 seconds
    n=1000, m/n=3.3, Success Rate: 0.0%, Total Flips: 250000, Time: 6643.86 seconds
    n=1000, m/n=3.4, Success Rate: 0.0%, Total Flips: 250000, Time: 6807.37 seconds
    n=1000, m/n=3.5, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=3.6, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=3.7, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=3.8, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=3.9, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.0, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.1, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.2, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.3, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.4, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.5, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.6, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.7, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.8, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=4.9, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=5.0, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=5.1, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=5.2, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=5.3, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds
    n=1000, m/n=5.4, Success Rate: 0.0%, Total Flips: 250000, Time: 0.00 seconds

================================================================================
Fin de resultados
