Resultados ordenados - 2025-06-04 23:35:14
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.8, p=0.5, n=50, m/n=4.0, WalkSAT Success: 30.0%, Total Flips: 107475, Time: 29.00 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=4.1, WalkSAT Success: 74.0%, Total Flips: 54784, Time: 8.12 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.1, WalkSAT Success: 48.0%, Total Flips: 86338, Time: 15.93 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.1, WalkSAT Success: 24.0%, Total Flips: 116113, Time: 28.28 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=4.2, WalkSAT Success: 61.0%, Total Flips: 74846, Time: 8.75 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.2, WalkSAT Success: 49.0%, Total Flips: 85232, Time: 16.08 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.2, WalkSAT Success: 17.0%, Total Flips: 126477, Time: 28.83 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=4.3, WalkSAT Success: 39.0%, Total Flips: 103055, Time: 9.31 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.3, WalkSAT Success: 45.0%, Total Flips: 92317, Time: 17.13 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.3, WalkSAT Success: 14.0%, Total Flips: 130101, Time: 29.24 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=4.4, WalkSAT Success: 38.0%, Total Flips: 103904, Time: 9.68 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.4, WalkSAT Success: 29.0%, Total Flips: 113076, Time: 22.07 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.4, WalkSAT Success: 12.0%, Total Flips: 133105, Time: 30.74 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=4.5, WalkSAT Success: 26.0%, Total Flips: 118562, Time: 17.76 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.5, WalkSAT Success: 17.0%, Total Flips: 127718, Time: 40.51 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.5, WalkSAT Success: 12.0%, Total Flips: 132992, Time: 41.96 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=4.6, WalkSAT Success: 18.0%, Total Flips: 129218, Time: 19.76 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.6, WalkSAT Success: 18.0%, Total Flips: 127075, Time: 41.63 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.6, WalkSAT Success: 6.0%, Total Flips: 141826, Time: 44.66 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=4.7, WalkSAT Success: 17.0%, Total Flips: 131698, Time: 20.68 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.7, WalkSAT Success: 8.0%, Total Flips: 139420, Time: 44.18 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.7, WalkSAT Success: 7.0%, Total Flips: 140145, Time: 45.07 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=4.8, WalkSAT Success: 16.0%, Total Flips: 129913, Time: 24.03 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.8, WalkSAT Success: 10.0%, Total Flips: 137250, Time: 44.67 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.8, WalkSAT Success: 5.0%, Total Flips: 142933, Time: 47.51 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=4.9, WalkSAT Success: 5.0%, Total Flips: 144689, Time: 23.11 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.9, WalkSAT Success: 5.0%, Total Flips: 143256, Time: 49.27 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=4.9, WalkSAT Success: 3.0%, Total Flips: 145648, Time: 47.14 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=5.0, WalkSAT Success: 9.0%, Total Flips: 139671, Time: 23.53 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=5.0, WalkSAT Success: 3.0%, Total Flips: 145902, Time: 50.41 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.0, WalkSAT Success: 2.0%, Total Flips: 147116, Time: 48.79 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=5.1, WalkSAT Success: 3.0%, Total Flips: 146207, Time: 24.60 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=5.1, WalkSAT Success: 5.0%, Total Flips: 143866, Time: 47.86 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.1, WalkSAT Success: 2.0%, Total Flips: 147240, Time: 48.53 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=5.2, WalkSAT Success: 4.0%, Total Flips: 145231, Time: 24.66 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=5.2, WalkSAT Success: 2.0%, Total Flips: 147331, Time: 48.41 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.2, WalkSAT Success: 1.0%, Total Flips: 148770, Time: 49.28 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=5.3, WalkSAT Success: 2.0%, Total Flips: 147282, Time: 25.54 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=5.3, WalkSAT Success: 1.0%, Total Flips: 148693, Time: 53.76 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.3, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 49.61 seconds
c=10, Q=0.2, p=0.5, n=50, m/n=5.4, WalkSAT Success: 1.0%, Total Flips: 148586, Time: 25.18 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=5.4, WalkSAT Success: 3.0%, Total Flips: 146574, Time: 49.23 seconds
c=10, Q=0.8, p=0.5, n=50, m/n=5.4, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 50.04 seconds

Resultados para n = 100:
----------------------------------------
c=10, Q=0.2, p=0.5, n=100, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 5258, Time: 4.83 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=2.5, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=2.5, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 5028, Time: 4.77 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=2.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=2.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 6279, Time: 4.85 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=2.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=2.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 6986, Time: 4.82 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=2.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=2.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=2.9, WalkSAT Success: 100.0%, Total Flips: 9247, Time: 5.00 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=2.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=2.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.0, WalkSAT Success: 100.0%, Total Flips: 10474, Time: 4.94 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.1, WalkSAT Success: 100.0%, Total Flips: 11878, Time: 5.11 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.1, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.2, WalkSAT Success: 100.0%, Total Flips: 15522, Time: 5.33 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.2, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.3, WalkSAT Success: 100.0%, Total Flips: 20047, Time: 5.45 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.3, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.4, WalkSAT Success: 100.0%, Total Flips: 20002, Time: 5.58 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.4, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 32440, Time: 16.85 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.5, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.5, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.6, WalkSAT Success: 95.0%, Total Flips: 45390, Time: 20.45 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.6, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.7, WalkSAT Success: 95.0%, Total Flips: 64193, Time: 27.15 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.7, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.8, WalkSAT Success: 89.0%, Total Flips: 85441, Time: 33.79 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.8, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=3.9, WalkSAT Success: 84.0%, Total Flips: 98894, Time: 39.60 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=3.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.8, p=0.5, n=100, m/n=3.9, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
c=10, Q=0.2, p=0.5, n=100, m/n=4.0, WalkSAT Success: 65.0%, Total Flips: 154560, Time: 51.76 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=4.0, WalkSAT Success: 0.0%, Total Flips: 300000, Time: 0.00 seconds
