Resultados ordenados - 2025-06-06 09:59:25
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.5, p=0.5, n=50, m/n=7.2, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=7.3, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=7.4, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=7.5, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=7.6, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=7.7, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=7.8, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=7.9, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=8.0, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=8.1, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=8.2, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=8.3, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=8.4, WalkSAT Success: 0.0%, Total Flips: 150000, Time: 0.00 seconds

Resultados para n = 100:
----------------------------------------
c=10, Q=0.5, p=0.5, n=100, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 4129, Time: 4.69 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 5178, Time: 4.70 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 6211, Time: 4.74 seconds
c=10, Q=0.5, p=0.5, n=100, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 6720, Time: 4.84 seconds
