Resultados ordenados - 2025-05-31 12:36:53
================================================================================

Resultados para n = 50:
----------------------------------------
c=10, Q=0.5, p=0.5, n=50, m/n=2.5, WalkSAT Success: 100.0%, Total Flips: 1923, Time: 4.97 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.6, WalkSAT Success: 100.0%, Total Flips: 2224, Time: 4.99 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.7, WalkSAT Success: 100.0%, Total Flips: 2620, Time: 4.34 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.8, WalkSAT Success: 100.0%, Total Flips: 2379, Time: 4.33 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=2.9, WalkSAT Success: 100.0%, Total Flips: 2669, Time: 4.47 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.0, WalkSAT Success: 100.0%, Total Flips: 2896, Time: 4.48 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.1, WalkSAT Success: 100.0%, Total Flips: 3670, Time: 5.00 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.2, WalkSAT Success: 100.0%, Total Flips: 3725, Time: 5.02 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.3, WalkSAT Success: 100.0%, Total Flips: 5116, Time: 4.59 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.4, WalkSAT Success: 100.0%, Total Flips: 4247, Time: 4.52 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.5, WalkSAT Success: 100.0%, Total Flips: 4945, Time: 5.03 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.6, WalkSAT Success: 100.0%, Total Flips: 6471, Time: 5.09 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.7, WalkSAT Success: 99.0%, Total Flips: 7659, Time: 4.78 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.8, WalkSAT Success: 100.0%, Total Flips: 7443, Time: 4.73 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=3.9, WalkSAT Success: 100.0%, Total Flips: 7936, Time: 4.94 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.0, WalkSAT Success: 100.0%, Total Flips: 8124, Time: 5.01 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.1, WalkSAT Success: 100.0%, Total Flips: 10111, Time: 5.08 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.2, WalkSAT Success: 100.0%, Total Flips: 10902, Time: 5.20 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.3, WalkSAT Success: 100.0%, Total Flips: 12197, Time: 5.34 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.4, WalkSAT Success: 100.0%, Total Flips: 12475, Time: 5.37 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.5, WalkSAT Success: 100.0%, Total Flips: 13756, Time: 5.45 seconds
c=10, Q=0.5, p=0.5, n=50, m/n=4.6, WalkSAT Success: 99.0%, Total Flips: 16919, Time: 5.86 seconds
