Resultados ordenados - 2025-06-18 11:38:29
================================================================================

#################### n = 50 ####################

#################### Max Tries = 5 ####################

#################### Max Flips = 50 ####################
    n=50, m/n=2.5, max_tries=5, max_flips=250, Success Rate: 62.0%, Total Flips: 49283, Time: 10.38 seconds
    n=50, m/n=2.6, max_tries=5, max_flips=250, Success Rate: 49.0%, Total Flips: 65454, Time: 12.42 seconds
    n=50, m/n=2.7, max_tries=5, max_flips=250, Success Rate: 49.0%, Total Flips: 65536, Time: 12.85 seconds
    n=50, m/n=2.8, max_tries=5, max_flips=250, Success Rate: 45.0%, Total Flips: 70330, Time: 12.92 seconds
    n=50, m/n=2.9, max_tries=5, max_flips=250, Success Rate: 30.0%, Total Flips: 88602, Time: 14.60 seconds
    n=50, m/n=3.0, max_tries=5, max_flips=250, Success Rate: 36.0%, Total Flips: 81417, Time: 14.49 seconds
    n=50, m/n=3.1, max_tries=5, max_flips=250, Success Rate: 19.0%, Total Flips: 101992, Time: 15.62 seconds
    n=50, m/n=3.2, max_tries=5, max_flips=250, Success Rate: 21.0%, Total Flips: 99415, Time: 15.40 seconds
    n=50, m/n=3.3, max_tries=5, max_flips=250, Success Rate: 14.0%, Total Flips: 108246, Time: 16.63 seconds
    n=50, m/n=3.4, max_tries=5, max_flips=250, Success Rate: 22.0%, Total Flips: 98660, Time: 16.63 seconds
    n=50, m/n=3.5, max_tries=5, max_flips=250, Success Rate: 10.0%, Total Flips: 113042, Time: 17.79 seconds
    n=50, m/n=3.6, max_tries=5, max_flips=250, Success Rate: 10.0%, Total Flips: 113000, Time: 18.05 seconds
    n=50, m/n=3.7, max_tries=5, max_flips=250, Success Rate: 3.0%, Total Flips: 121372, Time: 18.18 seconds
    n=50, m/n=3.8, max_tries=5, max_flips=250, Success Rate: 5.0%, Total Flips: 118995, Time: 18.51 seconds
    n=50, m/n=3.9, max_tries=5, max_flips=250, Success Rate: 2.0%, Total Flips: 122604, Time: 19.18 seconds
    n=50, m/n=4.0, max_tries=5, max_flips=250, Success Rate: 2.0%, Total Flips: 122572, Time: 19.17 seconds
    n=50, m/n=4.1, max_tries=5, max_flips=250, Success Rate: 1.0%, Total Flips: 123814, Time: 19.43 seconds
    n=50, m/n=4.2, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 19.84 seconds
    n=50, m/n=4.3, max_tries=5, max_flips=250, Success Rate: 1.0%, Total Flips: 123826, Time: 20.44 seconds
    n=50, m/n=4.4, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 20.62 seconds
    n=50, m/n=4.5, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 21.52 seconds
    n=50, m/n=4.6, max_tries=5, max_flips=250, Success Rate: 1.0%, Total Flips: 123814, Time: 21.97 seconds
    n=50, m/n=4.7, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 21.98 seconds
    n=50, m/n=4.8, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 22.37 seconds
    n=50, m/n=4.9, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 22.31 seconds
    n=50, m/n=5.0, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 22.66 seconds
    n=50, m/n=5.1, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 23.22 seconds
    n=50, m/n=5.2, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 23.38 seconds
    n=50, m/n=5.3, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 23.61 seconds
    n=50, m/n=5.4, max_tries=5, max_flips=250, Success Rate: 0.0%, Total Flips: 125000, Time: 24.38 seconds

#################### Max Flips = 1000 ####################
    n=50, m/n=1.5, max_tries=5, max_flips=1000, Success Rate: 96.0%, Total Flips: 21302, Time: 7.88 seconds
    n=50, m/n=1.6, max_tries=5, max_flips=1000, Success Rate: 99.0%, Total Flips: 6392, Time: 8.03 seconds
    n=50, m/n=1.7, max_tries=5, max_flips=1000, Success Rate: 93.0%, Total Flips: 36596, Time: 10.87 seconds
    n=50, m/n=1.8, max_tries=5, max_flips=1000, Success Rate: 97.0%, Total Flips: 16772, Time: 10.62 seconds
    n=50, m/n=1.9, max_tries=5, max_flips=1000, Success Rate: 93.0%, Total Flips: 36667, Time: 11.67 seconds
    n=50, m/n=2.0, max_tries=5, max_flips=1000, Success Rate: 92.0%, Total Flips: 42020, Time: 13.22 seconds
    n=50, m/n=2.1, max_tries=5, max_flips=1000, Success Rate: 81.0%, Total Flips: 96732, Time: 16.65 seconds
    n=50, m/n=2.2, max_tries=5, max_flips=1000, Success Rate: 70.0%, Total Flips: 151584, Time: 20.38 seconds
    n=50, m/n=2.3, max_tries=5, max_flips=1000, Success Rate: 73.0%, Total Flips: 136839, Time: 19.78 seconds
    n=50, m/n=2.4, max_tries=5, max_flips=1000, Success Rate: 65.0%, Total Flips: 176871, Time: 24.53 seconds
    n=50, m/n=2.5, max_tries=5, max_flips=1000, Success Rate: 56.0%, Total Flips: 221795, Time: 30.69 seconds
    n=50, m/n=2.6, max_tries=5, max_flips=1000, Success Rate: 54.0%, Total Flips: 231658, Time: 32.39 seconds
    n=50, m/n=2.7, max_tries=5, max_flips=1000, Success Rate: 45.0%, Total Flips: 276667, Time: 37.94 seconds
    n=50, m/n=2.8, max_tries=5, max_flips=1000, Success Rate: 35.0%, Total Flips: 326158, Time: 40.20 seconds
    n=50, m/n=2.9, max_tries=5, max_flips=1000, Success Rate: 31.0%, Total Flips: 345951, Time: 42.53 seconds
    n=50, m/n=3.0, max_tries=5, max_flips=1000, Success Rate: 29.0%, Total Flips: 356048, Time: 43.29 seconds
    n=50, m/n=3.1, max_tries=5, max_flips=1000, Success Rate: 22.0%, Total Flips: 390871, Time: 46.67 seconds
    n=50, m/n=3.2, max_tries=5, max_flips=1000, Success Rate: 19.0%, Total Flips: 405999, Time: 49.80 seconds
    n=50, m/n=3.3, max_tries=5, max_flips=1000, Success Rate: 16.0%, Total Flips: 420625, Time: 49.96 seconds
    n=50, m/n=3.4, max_tries=5, max_flips=1000, Success Rate: 12.0%, Total Flips: 440590, Time: 52.70 seconds
    n=50, m/n=3.5, max_tries=5, max_flips=1000, Success Rate: 12.0%, Total Flips: 440640, Time: 60.43 seconds
    n=50, m/n=3.6, max_tries=5, max_flips=1000, Success Rate: 7.0%, Total Flips: 465330, Time: 63.49 seconds
    n=50, m/n=3.7, max_tries=5, max_flips=1000, Success Rate: 1.0%, Total Flips: 495066, Time: 68.40 seconds
    n=50, m/n=3.8, max_tries=5, max_flips=1000, Success Rate: 5.0%, Total Flips: 475252, Time: 66.70 seconds
    n=50, m/n=3.9, max_tries=5, max_flips=1000, Success Rate: 4.0%, Total Flips: 480129, Time: 68.08 seconds
    n=50, m/n=4.0, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 69.61 seconds
    n=50, m/n=4.1, max_tries=5, max_flips=1000, Success Rate: 1.0%, Total Flips: 495095, Time: 70.89 seconds
    n=50, m/n=4.2, max_tries=5, max_flips=1000, Success Rate: 1.0%, Total Flips: 495072, Time: 72.00 seconds
    n=50, m/n=4.3, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 73.94 seconds
    n=50, m/n=4.4, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 75.53 seconds
    n=50, m/n=4.5, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 0.00 seconds
    n=50, m/n=4.6, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 0.00 seconds
    n=50, m/n=4.7, max_tries=5, max_flips=1000, Success Rate: 1.0%, Total Flips: 495075, Time: 61.14 seconds
    n=50, m/n=4.8, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 60.33 seconds
    n=50, m/n=4.9, max_tries=5, max_flips=1000, Success Rate: 1.0%, Total Flips: 495100, Time: 82.90 seconds
    n=50, m/n=5.0, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 82.04 seconds
    n=50, m/n=5.1, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 83.00 seconds
    n=50, m/n=5.2, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 86.09 seconds
    n=50, m/n=5.3, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 86.08 seconds
    n=50, m/n=5.4, max_tries=5, max_flips=1000, Success Rate: 0.0%, Total Flips: 500000, Time: 87.47 seconds

#################### Max Tries = 50 ####################

#################### Max Flips = 50 ####################
    n=50, m/n=1.5, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 1481, Time: 2.35 seconds
    n=50, m/n=1.6, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 1674, Time: 2.44 seconds
    n=50, m/n=1.7, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 1764, Time: 2.51 seconds
    n=50, m/n=1.8, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 2206, Time: 2.65 seconds
    n=50, m/n=1.9, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 2480, Time: 2.76 seconds
    n=50, m/n=2.0, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 2788, Time: 2.94 seconds
    n=50, m/n=2.1, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 3025, Time: 3.09 seconds
    n=50, m/n=2.2, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 3962, Time: 3.37 seconds
    n=50, m/n=2.3, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 4782, Time: 3.97 seconds
    n=50, m/n=2.4, max_tries=50, max_flips=50, Success Rate: 100.0%, Total Flips: 6040, Time: 4.15 seconds
