Resultados ordenados - 2025-06-15 13:17:56
================================================================================

#################### n = 50 ####################

#################### Max Tries = 1 ####################

#################### Max Flips = 50 ####################
    p=0.5, n=50, m/n=4.1, max_tries=1, max_flips=500, Success Rate: 56.0%, Total Flips: 32989, Time: 3.67 seconds
    p=0.5, n=50, m/n=4.2, max_tries=1, max_flips=500, Success Rate: 41.0%, Total Flips: 36372, Time: 3.93 seconds
    p=0.5, n=50, m/n=4.3, max_tries=1, max_flips=500, Success Rate: 42.0%, Total Flips: 36534, Time: 4.10 seconds
    p=0.5, n=50, m/n=4.4, max_tries=1, max_flips=500, Success Rate: 29.0%, Total Flips: 40990, Time: 4.64 seconds
    p=0.5, n=50, m/n=4.5, max_tries=1, max_flips=500, Success Rate: 25.0%, Total Flips: 40843, Time: 4.05 seconds
    p=0.5, n=50, m/n=4.6, max_tries=1, max_flips=500, Success Rate: 26.0%, Total Flips: 41403, Time: 4.15 seconds
    p=0.5, n=50, m/n=4.7, max_tries=1, max_flips=500, Success Rate: 10.0%, Total Flips: 47006, Time: 5.23 seconds
    p=0.5, n=50, m/n=4.8, max_tries=1, max_flips=500, Success Rate: 5.0%, Total Flips: 48405, Time: 5.63 seconds
    p=0.5, n=50, m/n=4.9, max_tries=1, max_flips=500, Success Rate: 8.0%, Total Flips: 47603, Time: 9.15 seconds
    p=0.5, n=50, m/n=5.0, max_tries=1, max_flips=500, Success Rate: 5.0%, Total Flips: 48270, Time: 7.55 seconds
    p=0.5, n=50, m/n=5.1, max_tries=1, max_flips=500, Success Rate: 3.0%, Total Flips: 49724, Time: 7.82 seconds
    p=0.5, n=50, m/n=5.2, max_tries=1, max_flips=500, Success Rate: 2.0%, Total Flips: 49275, Time: 31.06 seconds
    p=0.5, n=50, m/n=5.3, max_tries=1, max_flips=500, Success Rate: 2.0%, Total Flips: 49374, Time: 32.25 seconds
    p=0.5, n=50, m/n=5.4, max_tries=1, max_flips=500, Success Rate: 1.0%, Total Flips: 49622, Time: 35.41 seconds

#################### Max Flips = 1000 ####################
    p=0.5, n=50, m/n=2.5, max_tries=1, max_flips=1000, Success Rate: 100.0%, Total Flips: 2379, Time: 1.94 seconds
