Resultados ordenados - 2025-06-29 06:34:31
================================================================================

#################### n = 100 ####################

#################### Max Flips = 100.0 ####################
    c=20, Q=0.8, p=0.5, n=100, m/n=3.4, max_tries=3, max_flips=2000, Success Rate: 42.0%, Total Flips: 356688, Time: 23.64 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.5, max_tries=3, max_flips=2000, Success Rate: 40.0%, Total Flips: 368884, Time: 30.60 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.6, max_tries=3, max_flips=2000, Success Rate: 34.0%, Total Flips: 405736, Time: 33.71 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.7, max_tries=3, max_flips=2000, Success Rate: 23.0%, Total Flips: 467447, Time: 37.92 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.8, max_tries=3, max_flips=2000, Success Rate: 25.0%, Total Flips: 455255, Time: 36.59 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.9, max_tries=3, max_flips=2000, Success Rate: 14.0%, Total Flips: 519577, Time: 40.59 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.0, max_tries=3, max_flips=2000, Success Rate: 7.0%, Total Flips: 561055, Time: 43.93 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.1, max_tries=3, max_flips=2000, Success Rate: 5.0%, Total Flips: 571113, Time: 44.77 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.2, max_tries=3, max_flips=2000, Success Rate: 4.0%, Total Flips: 577708, Time: 46.53 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.3, max_tries=3, max_flips=2000, Success Rate: 3.0%, Total Flips: 583087, Time: 46.97 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.4, max_tries=3, max_flips=2000, Success Rate: 0.0%, Total Flips: 600000, Time: 49.46 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.5, max_tries=3, max_flips=2000, Success Rate: 0.0%, Total Flips: 600000, Time: 56.97 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.6, max_tries=3, max_flips=2000, Success Rate: 1.0%, Total Flips: 594115, Time: 56.89 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.7, max_tries=3, max_flips=2000, Success Rate: 1.0%, Total Flips: 594153, Time: 57.87 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.8, max_tries=3, max_flips=2000, Success Rate: 0.0%, Total Flips: 600000, Time: 58.89 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.9, max_tries=3, max_flips=2000, Success Rate: 2.0%, Total Flips: 588839, Time: 59.45 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.0, max_tries=3, max_flips=2000, Success Rate: 0.0%, Total Flips: 600000, Time: 61.47 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.1, max_tries=3, max_flips=2000, Success Rate: 0.0%, Total Flips: 600000, Time: 61.45 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.2, max_tries=3, max_flips=2000, Success Rate: 0.0%, Total Flips: 600000, Time: 62.06 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.3, max_tries=3, max_flips=2000, Success Rate: 0.0%, Total Flips: 600000, Time: 62.54 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.4, max_tries=3, max_flips=2000, Success Rate: 0.0%, Total Flips: 600000, Time: 63.03 seconds

#################### Max Flips = 5000.0 ####################
    c=20, Q=0.8, p=0.5, n=100, m/n=2.5, max_tries=3, max_flips=5000, Success Rate: 91.0%, Total Flips: 140431, Time: 11.74 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=2.6, max_tries=3, max_flips=5000, Success Rate: 89.0%, Total Flips: 169731, Time: 13.32 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=2.7, max_tries=3, max_flips=5000, Success Rate: 81.0%, Total Flips: 290177, Time: 20.03 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=2.8, max_tries=3, max_flips=5000, Success Rate: 80.0%, Total Flips: 305107, Time: 20.66 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=2.9, max_tries=3, max_flips=5000, Success Rate: 83.0%, Total Flips: 261772, Time: 18.82 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.0, max_tries=3, max_flips=5000, Success Rate: 70.0%, Total Flips: 458103, Time: 28.21 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.1, max_tries=3, max_flips=5000, Success Rate: 63.0%, Total Flips: 563925, Time: 32.75 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.2, max_tries=3, max_flips=5000, Success Rate: 69.0%, Total Flips: 476116, Time: 28.89 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.3, max_tries=3, max_flips=5000, Success Rate: 42.0%, Total Flips: 876725, Time: 48.81 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.4, max_tries=3, max_flips=5000, Success Rate: 48.0%, Total Flips: 792362, Time: 45.02 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.5, max_tries=3, max_flips=5000, Success Rate: 47.0%, Total Flips: 806387, Time: 64.78 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.6, max_tries=3, max_flips=5000, Success Rate: 26.0%, Total Flips: 1117549, Time: 88.47 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.7, max_tries=3, max_flips=5000, Success Rate: 29.0%, Total Flips: 1070328, Time: 87.12 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.8, max_tries=3, max_flips=5000, Success Rate: 12.0%, Total Flips: 1325463, Time: 104.26 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=3.9, max_tries=3, max_flips=5000, Success Rate: 12.0%, Total Flips: 1323333, Time: 106.19 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.0, max_tries=3, max_flips=5000, Success Rate: 12.0%, Total Flips: 1324012, Time: 106.97 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.1, max_tries=3, max_flips=5000, Success Rate: 8.0%, Total Flips: 1382491, Time: 112.23 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.2, max_tries=3, max_flips=5000, Success Rate: 1.0%, Total Flips: 1485072, Time: 119.98 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.3, max_tries=3, max_flips=5000, Success Rate: 4.0%, Total Flips: 1441389, Time: 118.22 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.4, max_tries=3, max_flips=5000, Success Rate: 0.0%, Total Flips: 1500000, Time: 123.60 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.5, max_tries=3, max_flips=5000, Success Rate: 1.0%, Total Flips: 1485474, Time: 141.39 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.6, max_tries=3, max_flips=5000, Success Rate: 0.0%, Total Flips: 1500000, Time: 143.72 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.7, max_tries=3, max_flips=5000, Success Rate: 1.0%, Total Flips: 1486988, Time: 143.76 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.8, max_tries=3, max_flips=5000, Success Rate: 0.0%, Total Flips: 1500000, Time: 147.33 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=4.9, max_tries=3, max_flips=5000, Success Rate: 0.0%, Total Flips: 1500000, Time: 151.59 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.0, max_tries=3, max_flips=5000, Success Rate: 0.0%, Total Flips: 1500000, Time: 151.63 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.1, max_tries=3, max_flips=5000, Success Rate: 0.0%, Total Flips: 1500000, Time: 150.58 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.2, max_tries=3, max_flips=5000, Success Rate: 0.0%, Total Flips: 1500000, Time: 154.49 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.3, max_tries=3, max_flips=5000, Success Rate: 0.0%, Total Flips: 1500000, Time: 155.30 seconds
    c=20, Q=0.8, p=0.5, n=100, m/n=5.4, max_tries=3, max_flips=5000, Success Rate: 0.0%, Total Flips: 1500000, Time: 159.83 seconds

#################### n = 250 ####################

#################### Max Flips = 250.0 ####################
    c=20, Q=0.8, p=0.5, n=250, m/n=2.5, max_tries=3, max_flips=250, Success Rate: 100.0%, Total Flips: 13055, Time: 5.33 seconds
    c=20, Q=0.8, p=0.5, n=250, m/n=2.6, max_tries=3, max_flips=250, Success Rate: 100.0%, Total Flips: 14708, Time: 5.60 seconds
