n=1000, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 24.75 seconds
n=1000, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 26.11 seconds
n=1000, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 29.20 seconds
n=1000, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 99.0%, Time: 40.68 seconds
n=1000, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 77.5%, Time: 71.81 seconds
n=1000, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 18.0%, Time: 115.29 seconds
n=1000, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 2.5%, Time: 126.86 seconds
n=1000, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 3465.32 seconds
n=1000, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 136.00 seconds
n=1000, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 142.54 seconds
n=1000, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 147.70 seconds
n=1000, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 153.12 seconds
n=1000, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 159.90 seconds
n=1000, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 167.31 seconds
n=1000, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 171.40 seconds
n=1000, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 176.81 seconds
n=1000, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 184.85 seconds
n=1000, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 189.85 seconds
n=1000, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 196.39 seconds
n=1000, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 197.49 seconds
n=1000, m/n=3.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 202.46 seconds
n=1000, m/n=3.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 207.54 seconds
n=1000, m/n=3.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 212.44 seconds
n=1000, m/n=3.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 218.06 seconds
n=1000, m/n=3.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 223.74 seconds
