n=1000, m/n=1.5, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 23.57 seconds
n=1000, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 24.85 seconds
n=1000, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 27.91 seconds
n=1000, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 99.0%, Time: 40.67 seconds
n=1000, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 66.5%, Time: 74.91 seconds
n=1000, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 15.5%, Time: 108.39 seconds
n=1000, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 0.5%, Time: 119.01 seconds
n=1000, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 123.67 seconds
n=1000, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 132.44 seconds
n=1000, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 136.19 seconds
n=1000, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 141.20 seconds
n=1000, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 146.12 seconds
n=1000, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 149.02 seconds
n=1000, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 157.53 seconds
n=1000, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 163.29 seconds
n=1000, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 169.10 seconds
n=1000, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 173.09 seconds
n=1000, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 177.86 seconds
n=1000, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 182.99 seconds
n=1000, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 187.76 seconds
