n=100, m=200, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.40 seconds
n=100, m=210, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.23 seconds
n=100, m=220, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.43 seconds
n=100, m=229, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.56 seconds
n=100, m=240, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.71 seconds
n=100, m=250, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.80 seconds
n=100, m=254, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.68 seconds
n=100, m=260, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.80 seconds
n=100, m=265, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.90 seconds
n=100, m=270, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 9.09 seconds
n=100, m=275, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 9.02 seconds
n=100, m=280, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 9.54 seconds
n=100, m=290, GSAT Success: 0.0%, WalkSAT Success: 97.0%, Time: 9.58 seconds
n=100, m=300, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 9.59 seconds
