n=1000, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 26.84 seconds
n=1000, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 30.68 seconds
n=1000, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 99.5%, Time: 43.95 seconds
n=1000, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 74.5%, Time: 82.12 seconds
n=1000, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 14.499999999999998%, Time: 129.08 seconds
n=1000, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 1.0%, Time: 135.65 seconds
n=1000, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 142.94 seconds
n=1000, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 151.94 seconds
n=1000, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 156.11 seconds
n=1000, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 161.07 seconds
n=1000, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 166.94 seconds
n=1000, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 173.16 seconds
n=1000, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time:  seconds
n=1000, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time:  seconds
n=1000, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time:  seconds
n=1000, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time:  seconds
n=1000, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time:  seconds
n=1000, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time:  seconds
n=1000, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time:  seconds
