Resultados ordenados - 2025-06-20 08:26:37
================================================================================

#################### n = 50 ####################

#################### Max Tries = 1 ####################

#################### Max Flips = 50.0 ####################
    c=10, Q=0.8, p=0.5, n=50, m/n=3.4, max_tries=1, max_flips=500, Success Rate: 60.0%, Total Flips: 23369, Time: 5.07 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.5, max_tries=1, max_flips=500, Success Rate: 57.0%, Total Flips: 25549, Time: 5.08 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.6, max_tries=1, max_flips=500, Success Rate: 49.0%, Total Flips: 29054, Time: 5.21 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.7, max_tries=1, max_flips=500, Success Rate: 42.0%, Total Flips: 31326, Time: 5.41 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.8, max_tries=1, max_flips=500, Success Rate: 34.0%, Total Flips: 35045, Time: 5.66 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.9, max_tries=1, max_flips=500, Success Rate: 33.0%, Total Flips: 36070, Time: 5.60 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.0, max_tries=1, max_flips=500, Success Rate: 25.0%, Total Flips: 40200, Time: 5.96 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.1, max_tries=1, max_flips=500, Success Rate: 20.0%, Total Flips: 42173, Time: 6.01 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.2, max_tries=1, max_flips=500, Success Rate: 22.0%, Total Flips: 41804, Time: 5.93 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.3, max_tries=1, max_flips=500, Success Rate: 10.0%, Total Flips: 45624, Time: 6.28 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.4, max_tries=1, max_flips=500, Success Rate: 7.0%, Total Flips: 47585, Time: 6.46 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.5, max_tries=1, max_flips=500, Success Rate: 8.0%, Total Flips: 46655, Time: 6.42 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.6, max_tries=1, max_flips=500, Success Rate: 5.0%, Total Flips: 47998, Time: 6.56 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.7, max_tries=1, max_flips=500, Success Rate: 5.0%, Total Flips: 48387, Time: 6.57 seconds
