n=1500, m=1500, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 17.25 seconds
n=1500, m=2250, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 25.62 seconds
n=1500, m=3000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 41.09 seconds
n=1500, m=3750, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 53.52 seconds
n=1500, m=4500, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 79.96 seconds
n=1500, m=5250, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 93.16 seconds
n=1500, m=5400, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 94.42 seconds
n=1500, m=5550, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 103.64 seconds
n=1500, m=5700, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 107.78 seconds
n=1500, m=5850, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 114.05 seconds
n=1500, m=6000, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 120.75 seconds
n=1500, m=6149, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 124.04 seconds
n=1500, m=6300, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 128.27 seconds
n=1500, m=6450, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 130.53 seconds
n=1500, m=6600, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 131.81 seconds
n=1500, m=6750, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 140.72 seconds
n=1500, m=7500, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 164.79 seconds
