n=100, m=200, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.01 seconds
n=100, m=210, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.59 seconds
n=100, m=220, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.82 seconds
n=100, m=229, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 8.07 seconds
n=100, m=240, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.67 seconds
n=100, m=250, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.63 seconds
n=100, m=254, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.79 seconds
n=100, m=260, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.78 seconds
n=100, m=265, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.95 seconds
n=100, m=270, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.93 seconds
n=100, m=275, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.92 seconds
n=100, m=280, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 7.98 seconds
n=100, m=290, GSAT Success: 0.0%, WalkSAT Success: 99.0%, Time: 8.22 seconds
n=100, m=300, GSAT Success: 0.0%, WalkSAT Success: 97.0%, Time: 8.43 seconds
