Resultados ordenados - 2025-06-29 17:24:15
================================================================================

#################### n = 50 ####################

#################### c = 10 ####################

#################### Q = 0.2 ####################

#################### Max Flips = 500.0 ####################
    c=10, Q=0.5, p=0.5, n=50, m/n=3.4, max_tries=3, max_flips=500, Success Rate: 92.0%, Total Flips: 21206, Time: 4.53 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.5, max_tries=3, max_flips=500, Success Rate: 82.0%, Total Flips: 34770, Time: 6.43 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.6, max_tries=3, max_flips=500, Success Rate: 77.0%, Total Flips: 42744, Time: 6.90 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.7, max_tries=3, max_flips=500, Success Rate: 71.0%, Total Flips: 51264, Time: 7.57 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.8, max_tries=3, max_flips=500, Success Rate: 66.0%, Total Flips: 60344, Time: 7.91 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=3.9, max_tries=3, max_flips=500, Success Rate: 60.0%, Total Flips: 69684, Time: 8.28 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.0, max_tries=3, max_flips=500, Success Rate: 54.0%, Total Flips: 77285, Time: 8.60 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.1, max_tries=3, max_flips=500, Success Rate: 42.0%, Total Flips: 93821, Time: 9.86 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.2, max_tries=3, max_flips=500, Success Rate: 36.0%, Total Flips: 101770, Time: 9.85 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.3, max_tries=3, max_flips=500, Success Rate: 35.0%, Total Flips: 102981, Time: 10.31 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.4, max_tries=3, max_flips=500, Success Rate: 19.0%, Total Flips: 124847, Time: 11.46 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.5, max_tries=3, max_flips=500, Success Rate: 13.0%, Total Flips: 133191, Time: 13.10 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.6, max_tries=3, max_flips=500, Success Rate: 14.0%, Total Flips: 131622, Time: 13.16 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.7, max_tries=3, max_flips=500, Success Rate: 9.0%, Total Flips: 138386, Time: 13.74 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.8, max_tries=3, max_flips=500, Success Rate: 7.0%, Total Flips: 141258, Time: 14.24 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=4.9, max_tries=3, max_flips=500, Success Rate: 7.0%, Total Flips: 140726, Time: 14.14 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.0, max_tries=3, max_flips=500, Success Rate: 4.0%, Total Flips: 144753, Time: 14.36 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.1, max_tries=3, max_flips=500, Success Rate: 4.0%, Total Flips: 144717, Time: 14.89 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.2, max_tries=3, max_flips=500, Success Rate: 4.0%, Total Flips: 144501, Time: 15.14 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.3, max_tries=3, max_flips=500, Success Rate: 1.0%, Total Flips: 148562, Time: 15.37 seconds
    c=10, Q=0.5, p=0.5, n=50, m/n=5.4, max_tries=3, max_flips=500, Success Rate: 2.0%, Total Flips: 147575, Time: 15.60 seconds

#################### Q = 0.8 ####################

#################### Max Flips = 500.0 ####################
    c=10, Q=0.8, p=0.5, n=50, m/n=2.5, max_tries=3, max_flips=500, Success Rate: 89.0%, Total Flips: 18493, Time: 4.35 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.6, max_tries=3, max_flips=500, Success Rate: 94.0%, Total Flips: 11391, Time: 4.02 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.7, max_tries=3, max_flips=500, Success Rate: 90.0%, Total Flips: 17708, Time: 4.35 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.8, max_tries=3, max_flips=500, Success Rate: 95.0%, Total Flips: 10739, Time: 4.01 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=2.9, max_tries=3, max_flips=500, Success Rate: 85.0%, Total Flips: 25185, Time: 4.69 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.0, max_tries=3, max_flips=500, Success Rate: 76.0%, Total Flips: 39046, Time: 5.29 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.1, max_tries=3, max_flips=500, Success Rate: 69.0%, Total Flips: 49227, Time: 5.90 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.2, max_tries=3, max_flips=500, Success Rate: 74.0%, Total Flips: 42830, Time: 5.56 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.3, max_tries=3, max_flips=500, Success Rate: 68.0%, Total Flips: 53061, Time: 6.16 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.4, max_tries=3, max_flips=500, Success Rate: 55.0%, Total Flips: 71688, Time: 7.20 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.5, max_tries=3, max_flips=500, Success Rate: 54.0%, Total Flips: 72145, Time: 7.96 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.6, max_tries=3, max_flips=500, Success Rate: 45.0%, Total Flips: 85142, Time: 8.80 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.7, max_tries=3, max_flips=500, Success Rate: 37.0%, Total Flips: 97204, Time: 9.49 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.8, max_tries=3, max_flips=500, Success Rate: 30.0%, Total Flips: 107280, Time: 10.26 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=3.9, max_tries=3, max_flips=500, Success Rate: 30.0%, Total Flips: 107276, Time: 10.30 seconds
    c=10, Q=0.8, p=0.5, n=50, m/n=4.0, max_tries=3, max_flips=500, Success Rate: 18.0%, Total Flips: 124496, Time: 11.24 seconds
