c=30 Q=0.8
n=1000, m/n=1.6, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 24.87 seconds
n=1000, m/n=1.7, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 28.05 seconds
n=1000, m/n=1.8, GSAT Success: 0.0%, WalkSAT Success: 100.0%, Time: 39.05 seconds
n=1000, m/n=1.9, GSAT Success: 0.0%, WalkSAT Success: 68.5%, Time: 78.12 seconds
n=1000, m/n=2.0, GSAT Success: 0.0%, WalkSAT Success: 15.0%, Time: 112.51 seconds
n=1000, m/n=2.1, GSAT Success: 0.0%, WalkSAT Success: 1.0%, Time: 124.25 seconds
n=1000, m/n=2.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 129.47 seconds
n=1000, m/n=2.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 134.60 seconds
n=1000, m/n=2.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 139.65 seconds
n=1000, m/n=2.5, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 144.65 seconds
n=1000, m/n=2.6, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 149.83 seconds
n=1000, m/n=2.7, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 154.94 seconds
n=1000, m/n=2.8, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 165.46 seconds
n=1000, m/n=2.9, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 178.06 seconds
n=1000, m/n=3.0, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 177.70 seconds
n=1000, m/n=3.1, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 184.01 seconds
n=1000, m/n=3.2, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 186.20 seconds
n=1000, m/n=3.3, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 189.96 seconds
n=1000, m/n=3.4, GSAT Success: 0.0%, WalkSAT Success: 0.0%, Time: 194.84 seconds
