Configuration,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",46.8,100.0,0.0,685971.56,145.63153333333332,3.7
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",46.38666666666666,100.0,0.0,679016.7733333333,128.70786666666663,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",40.373333333333335,100.0,0.0,695630.2266666667,130.35793333333334,3.6
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.2",44.675,100.0,0.0,837953.1416666667,178.79725,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.5",43.65,100.0,0.0,837665.4166666666,160.86499999999998,3.7
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.8",36.525,100.0,0.0,872685.6416666667,174.71583333333334,3.4
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.2",44.275,100.0,0.0,840653.2583333333,180.0835,3.7
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.5",41.858333333333334,100.0,0.0,845930.8416666667,161.84025,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.8",30.316666666666666,100.0,0.0,917344.2,185.67591666666667,3.0
