Configuration,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=10",51.78,100.0,0.0,658850.64,134.4972,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=20",49.575,100.0,0.0,806030.5083333333,166.35708333333332,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.2, c=30",48.516666666666666,100.0,0.0,811050.0166666667,216.4129166666667,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=10",49.74,100.0,0.0,672624.1866666666,141.9118,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=20",47.166666666666664,100.0,0.0,819820.7,173.3003333333333,3.8
"p=0.5, max_tries=3, flips_coef=10, Q=0.5, c=30",44.775,100.0,0.0,829722.6166666667,181.71975,3.7
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=10",42.57333333333333,100.0,0.0,683624.08,179.53346666666667,3.7
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=20",38.53333333333333,100.0,0.0,857948.6166666667,184.7015,3.3
"p=0.5, max_tries=3, flips_coef=10, Q=0.8, c=30",31.525,100.0,0.0,904249.7166666667,179.3273333333333,2.9
