Configuration,n,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",50,61.9,100.0,1.0,65363.566666666666,12.68,4.4
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",100,55.56666666666667,100.0,0.0,149990.03333333333,22.472333333333335,4.1
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",250,49.9,100.0,0.0,418967.73333333334,62.33266666666667,4.0
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",500,46.833333333333336,100.0,0.0,875932.1666666666,210.41866666666664,3.9
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.2",1000,44.0,100.0,0.0,1815333.9,943.7166666666667,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",50,55.46666666666667,100.0,0.0,72793.83333333333,14.710000000000003,4.2
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",100,52.93333333333333,100.0,0.0,155775.96666666667,21.949999999999992,4.1
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",250,49.3,100.0,0.0,418168.0333333333,58.924,4.0
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",500,46.36666666666667,100.0,0.0,877923.9333333333,209.44633333333334,3.9
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.5",1000,44.1,100.0,0.0,1818864.3333333333,910.1473333333334,3.8
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",50,38.1,95.0,0.0,94927.3,13.623666666666667,3.7
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",100,40.2,99.0,0.0,186106.2,19.700000000000003,3.6
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",250,44.53333333333333,100.0,0.0,444831.1,60.56733333333333,3.9
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",500,46.266666666666666,100.0,0.0,876160.0,200.96266666666668,3.9
"p=0.5, max_tries=3, flips_coef=10, c=10, Q=0.8",1000,44.46666666666667,100.0,0.0,1799030.1333333333,887.9159999999998,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.2",100,55.333333333333336,100.0,0.0,151176.63333333333,21.327333333333332,4.1
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.2",250,49.13333333333333,100.0,0.0,420131.0333333333,61.85733333333333,4.0
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.2",500,46.166666666666664,100.0,0.0,878697.4,213.8656666666667,3.9
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.2",1000,43.86666666666667,100.0,0.0,1824291.2666666666,939.6553333333333,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.5",100,48.333333333333336,100.0,0.0,166945.1,23.189666666666664,4.0
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.5",250,47.333333333333336,100.0,0.0,431757.7,61.18,3.9
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.5",500,45.53333333333333,100.0,0.0,889597.1666666666,212.82833333333335,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.5",1000,43.13333333333333,100.0,0.0,1836046.4666666666,926.6653333333333,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.8",100,29.1,88.0,0.0,216300.63333333333,23.573666666666664,3.3
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.8",250,36.9,100.0,0.0,492939.5333333333,69.46766666666667,3.6
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.8",500,43.0,100.0,0.0,911404.3333333334,213.06233333333333,3.8
"p=0.5, max_tries=3, flips_coef=10, c=20, Q=0.8",1000,43.2,100.0,0.0,1823324.2333333334,900.4296666666667,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.2",100,53.06666666666667,100.0,0.0,156855.63333333333,22.195666666666668,4.1
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.2",250,49.3,100.0,0.0,420919.0,60.80999999999999,3.9
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.2",500,46.03333333333333,100.0,0.0,885608.9333333333,216.42566666666667,3.9
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.2",1000,43.56666666666667,100.0,0.0,1830122.2333333334,941.5859999999999,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.5",100,41.86666666666667,100.0,0.0,184701.33333333334,20.252999999999997,3.9
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.5",250,46.43333333333333,100.0,0.0,435642.9666666667,61.748000000000005,4.0
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.5",500,44.733333333333334,100.0,0.0,899949.8,217.228,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.5",1000,43.0,100.0,0.0,1845564.9333333333,928.2683333333332,3.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.8",100,16.933333333333334,70.0,0.0,250616.26666666666,27.866333333333333,2.8
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.8",250,28.966666666666665,96.0,0.0,544794.2333333333,77.95366666666665,3.4
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.8",500,37.86666666666667,100.0,0.0,977107.7666666667,229.78433333333334,3.6
"p=0.5, max_tries=3, flips_coef=10, c=30, Q=0.8",1000,42.1,100.0,0.0,1854126.7666666666,906.8093333333333,3.8
