Configuration,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",29.48,100.0,0.0,95052.1,28.4642,3.1
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",28.986666666666668,100.0,0.0,95261.15333333334,29.306733333333334,3.1
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",27.226666666666667,100.0,0.0,95435.01333333334,29.755,3.1
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",25.583333333333332,100.0,0.0,116440.68333333333,34.66175,3.1
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",25.7,100.0,0.0,116509.79166666667,35.80491666666667,3.1
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",23.308333333333334,100.0,0.0,117440.35833333334,33.90558333333333,3.1
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",25.6,100.0,0.0,116466.19166666667,35.224000000000004,3.1
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",24.766666666666666,100.0,0.0,116858.0,36.42100000000001,3.1
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",20.275,100.0,0.0,118110.54166666667,16.873916666666666,2.9
