Configuration,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",30.206666666666667,100.0,0.0,94122.78,23.394666666666666,3.1
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",30.653333333333332,100.0,0.0,93237.31333333334,23.07466666666667,3.2
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",28.7,100.0,0.0,93082.26,23.559466666666665,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",27.383333333333333,100.0,0.0,114787.94166666667,28.440333333333335,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",26.883333333333333,100.0,0.0,114110.15833333334,27.959333333333333,3.1
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",24.775,100.0,0.0,114732.33333333333,27.867666666666665,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",26.225,100.0,0.0,115416.95833333333,27.767583333333338,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",26.033333333333335,100.0,0.0,114622.20833333333,27.978833333333334,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",21.166666666666668,100.0,0.0,116079.24166666667,27.408916666666666,2.9
