Configuration,n,avg_success,max_success,min_success,avg_total_flips,avg_time,phase_transition
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",50,44.13333333333333,100.0,0.0,10033.7,4.3663333333333325,3.8
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",100,34.333333333333336,100.0,0.0,22552.033333333333,5.9463333333333335,3.4
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",250,27.1,100.0,0.0,60526.7,7.747333333333334,3.3
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",500,23.8,100.0,0.0,124232.06666666667,19.083000000000002,3.2
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.2",1000,21.666666666666668,100.0,0.0,253269.4,79.83033333333333,3.1
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",50,42.46666666666667,100.0,0.0,10202.066666666668,4.257000000000001,3.9
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",100,35.56666666666667,100.0,0.0,22168.733333333334,5.862,3.6
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",250,28.1,100.0,0.0,59807.4,7.567333333333333,3.3
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",500,24.8,100.0,0.0,122988.8,19.809,3.2
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.5",1000,22.333333333333332,100.0,0.0,251019.56666666668,77.878,3.2
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",50,35.6,92.0,0.0,10646.966666666667,4.467999999999999,3.6
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",100,32.56666666666667,97.0,0.0,22633.533333333333,5.888999999999999,3.6
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",250,27.333333333333332,100.0,0.0,59966.6,7.562,3.3
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",500,24.833333333333332,100.0,0.0,122952.53333333334,20.409,3.2
"p=0.5, max_tries=3, flips_coef=1, c=10, Q=0.8",1000,23.166666666666668,100.0,0.0,249211.66666666666,79.46933333333332,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",100,35.36666666666667,100.0,0.0,22242.433333333334,5.902,3.5
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",250,27.933333333333334,100.0,0.0,60276.86666666667,7.6466666666666665,3.4
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",500,24.333333333333332,100.0,0.0,124092.86666666667,20.67,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.2",1000,21.9,100.0,0.0,252539.6,79.54266666666666,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",100,33.233333333333334,100.0,0.0,22533.1,5.920333333333333,3.4
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",250,27.033333333333335,100.0,0.0,60325.833333333336,7.535333333333332,3.3
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",500,24.933333333333334,100.0,0.0,122972.2,20.357333333333333,3.3
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.5",1000,22.333333333333332,100.0,0.0,250609.5,78.02433333333333,3.1
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",100,26.833333333333332,95.0,0.0,23616.9,5.964000000000001,3.3
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",250,25.533333333333335,100.0,0.0,60897.4,7.315333333333332,3.3
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",500,24.333333333333332,100.0,0.0,123509.23333333334,20.42,3.2
"p=0.5, max_tries=3, flips_coef=1, c=20, Q=0.8",1000,22.4,100.0,0.0,250905.8,77.77133333333333,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",100,32.56666666666667,100.0,0.0,22929.633333333335,3.546666666666667,3.5
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",250,27.066666666666666,100.0,0.0,60620.03333333333,7.266666666666667,3.3
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",500,23.533333333333335,100.0,0.0,124755.63333333333,20.642,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.2",1000,21.733333333333334,100.0,0.0,253362.53333333333,79.615,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",100,30.366666666666667,96.0,0.0,23211.833333333332,5.988333333333332,3.4
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",250,26.833333333333332,100.0,0.0,60552.36666666667,7.276666666666667,3.3
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",500,24.533333333333335,100.0,0.0,123523.76666666666,20.481,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.5",1000,22.4,100.0,0.0,251200.86666666667,78.16933333333333,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",100,16.7,73.0,0.0,25801.466666666667,3.8160000000000003,2.9
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",250,22.533333333333335,96.0,0.0,62573.1,7.483333333333333,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",500,23.033333333333335,100.0,0.0,125092.4,20.71033333333333,3.2
"p=0.5, max_tries=3, flips_coef=1, c=30, Q=0.8",1000,22.4,100.0,0.0,250850.0,77.626,3.2
